日期,时间,分区,使用量,year,month,Time,Used,All,使用率
2023/4/4,22:00:19,ABUD/vi_irdc,0/256,2023,4,22,0,256,0
2023/4/4,22:00:19,SH40/IRDC_Share,192/376,2023,4,22,192,376,51.06
2023/4/5,10:00:17,ABUD/vi_irdc,0/256,2023,4,10,0,256,0
2023/4/5,10:00:17,SH40/IRDC_Share,192/376,2023,4,10,192,376,51.06
2023/4/5,14:00:16,ABUD/vi_irdc,0/256,2023,4,14,0,256,0
2023/4/5,14:00:16,SH40/IRDC_Share,192/376,2023,4,14,192,376,51.06
2023/4/5,18:00:18,ABUD/vi_irdc,0/256,2023,4,18,0,256,0
2023/4/5,18:00:18,SH40/IRDC_Share,144/376,2023,4,18,144,376,38.3
2023/4/5,22:00:14,ABUD/vi_irdc,0/256,2023,4,22,0,256,0
2023/4/5,22:00:14,SH40/IRDC_Share,48/376,2023,4,22,48,376,12.77
2023/4/6,10:00:16,ABUD/vi_irdc,16/256,2023,4,10,16,256,6.25
2023/4/6,10:00:16,SH40/IRDC_Share,32/376,2023,4,10,32,376,8.51
2023/4/6,14:00:15,ABUD/vi_irdc,0/256,2023,4,14,0,256,0
2023/4/6,14:00:15,SH40/IRDC_Share,216/376,2023,4,14,216,376,57.45
2023/4/6,18:00:14,ABUD/vi_irdc,32/256,2023,4,18,32,256,12.5
2023/4/6,18:00:14,SH40/IRDC_Share,80/376,2023,4,18,80,376,21.28
2023/4/6,22:00:14,ABUD/vi_irdc,32/256,2023,4,22,32,256,12.5
2023/4/6,22:00:14,SH40/IRDC_Share,192/280,2023,4,22,192,280,68.57
2023/4/7,10:00:14,ABUD/vi_irdc,16/256,2023,4,10,16,256,6.25
2023/4/7,10:00:14,SH40/IRDC_Share,96/280,2023,4,10,96,280,34.29
2023/4/7,18:00:21,ABUD/vi_irdc,16/256,2023,4,18,16,256,6.25
2023/4/7,18:00:21,SH40/IRDC_Share,168/280,2023,4,18,168,280,60
2023/4/7,18:00:21,SH40/IRDC_1080Ti,0/80,2023,4,18,0,80,0
2023/4/7,18:00:21,SH1024/IRDC_A100_40G,0/8,2023,4,18,0,8,0
2023/4/7,18:00:21,SH1988/IRDC_V100_16G,0/48,2023,4,18,0,48,0
2023/4/8,14:00:15,ABUD/vi_irdc,16/256,2023,4,14,16,256,6.25
2023/4/8,14:00:15,SH40/IRDC_Share,200/280,2023,4,14,200,280,71.43
2023/4/8,14:00:15,SH40/IRDC_1080Ti,0/80,2023,4,14,0,80,0
2023/4/8,14:00:15,SH1024/IRDC_A100_40G,0/8,2023,4,14,0,8,0
2023/4/8,14:00:15,SH1988/IRDC_V100_16G,0/48,2023,4,14,0,48,0
2023/4/8,18:00:21,ABUD/vi_irdc,0/256,2023,4,18,0,256,0
2023/4/8,18:00:21,SH40/IRDC_Share,168/280,2023,4,18,168,280,60
2023/4/8,18:00:21,SH40/IRDC_1080Ti,0/80,2023,4,18,0,80,0
2023/4/8,18:00:21,SH1024/IRDC_A100_40G,0/8,2023,4,18,0,8,0
2023/4/8,18:00:21,SH1988/IRDC_V100_16G,0/48,2023,4,18,0,48,0
2023/4/9,18:00:21,ABUD/vi_irdc,48/256,2023,4,18,48,256,18.75
2023/4/9,18:00:21,SH40/IRDC_Share,8/280,2023,4,18,8,280,2.86
2023/4/9,18:00:21,SH40/IRDC_1080Ti,0/80,2023,4,18,0,80,0
2023/4/9,18:00:21,SH1024/IRDC_A100_40G,0/8,2023,4,18,0,8,0
2023/4/9,18:00:21,SH1988/IRDC_V100_16G,0/48,2023,4,18,0,48,0
2023/4/9,22:00:14,ABUD/vi_irdc,0/256,2023,4,22,0,256,0
2023/4/9,22:00:14,SH40/IRDC_Share,8/280,2023,4,22,8,280,2.86
2023/4/9,22:00:14,SH40/IRDC_1080Ti,0/80,2023,4,22,0,80,0
2023/4/9,22:00:14,SH1024/IRDC_A100_40G,0/8,2023,4,22,0,8,0
2023/4/9,22:00:14,SH1988/IRDC_V100_16G,0/48,2023,4,22,0,48,0
2023/4/10,10:00:19,ABUD/vi_irdc,16/256,2023,4,10,16,256,6.25
2023/4/10,10:00:19,SH40/IRDC_Share,8/280,2023,4,10,8,280,2.86
2023/4/10,10:00:19,SH40/IRDC_1080Ti,0/80,2023,4,10,0,80,0
2023/4/10,10:00:19,SH1024/IRDC_A100_40G,0/8,2023,4,10,0,8,0
2023/4/10,10:00:19,SH1988/IRDC_V100_16G,0/48,2023,4,10,0,48,0
2023/4/10,14:00:15,ABUD/vi_irdc,32/256,2023,4,14,32,256,12.5
2023/4/10,14:00:15,SH40/IRDC_Share,16/280,2023,4,14,16,280,5.71
2023/4/10,14:00:15,SH40/IRDC_1080Ti,0/80,2023,4,14,0,80,0
